Identitas,KodeProv,Provinsi,KodeKab,KabKota,KodeKat,Kategori,Namakejadian,Tanggal,Bulan,Tahun,Meninggal,Lukaluka,Hilang,Terdampak,Mengungsi,RumahRusakBerat,RumahRusakSedang,RumahRusakRingan,Kesehatan,Peribadatan,Pendidikan
6371201200909261,63,Kalimantan Selatan,6371,Kota Banjarmasin,201,Kebakaran,Kebakaran,26,9,2009,,0,,0,0,36,,,,,
6472201200909261,64,Kalimantan Timur,6472,Kota Samarinda,201,kebakaran,kebakaran,26,9,2009,,0,,0,0,,,,,,
7410201200909261,74,Sulawesi Tenggara,7410,Konawe Utara,201,Kebakaran,Kebakaran,26,9,2009,,0,,0,0,1,,,,,
7471201200909251,74,Sulawesi Tenggara,7471,kota kendari,201,Kebakaran,Kebakaran,25,9,2009,,0,,0,0,1,,,,,
6371201200909251,63,Kalimantan Selatan,6371,Kota Banjarmasin,201,Kebakaran,Kebakaran,25,9,2009,,0,,0,9,6,,1,,,
1113201200909241,11,Aceh,1113,Gayo Lues,201,Kebakaran,Kebakaran,24,9,2009,,0,,0,0,7,,,,,
3318201200909241,33,Jawa Tengah,3318,Pati,201,Kebakaran,Kebakaran,24,9,2009,,0,,0,0,2,,,,,
6371201200909241,63,Kalimantan Selatan,6371,Kota Banjarmasin,201,Kebakaran,Kebakaran,24,9,2009,,0,,0,0,1,,,,,
6472107200909241,64,Kalimantan Timur,6472,Kota Samarinda,107,Kebakaran hutan dan lahan,Kebakaran hutan dan lahan,24,9,2009,,0,,0,0,,,,,,
6472201200909241,64,Kalimantan Timur,6472,Kota Samarinda,201,kebakaran,kebakaran,24,9,2009,,0,,0,0,4,,,,,
1111201200909241,11,Aceh,1111,Aceh Utara,201,Kebakaran,Kebakaran,24,9,2009,,0,,0,0,,,,,,
7472105200909241,74,Sulawesi Tenggara,7472,kota baubau,105,Puting Beliung,Puting Beliung,24,9,2009,,0,,0,0,1,,8,,,
1109201200909231,11,Aceh,1109,Pidie,201,Kebakaran,Kebakaran,23,9,2009,,0,,0,0,3,,2,,,
3302201200909231,33,Jawa Tengah,3302,Banyumas,201,Kebakaran,Kebakaran,23,9,2009,,0,,0,0,1,,,,,
1104201200909231,11,Aceh,1104,Aceh tenggara,201,Kebakaran,Kebakaran,23,9,2009,,0,,0,0,1,,,,,
1171201200909231,11,Aceh,1171,kota Banda Aceh,201,Kebakaran,Kebakaran,23,9,2009,,0,,0,0,,,1,,,
1109201200909221,11,Aceh,1109,Pidie,201,Kebakaran,Kebakaran,22,9,2009,,0,,0,0,4,,,,,
3322201200909221,33,Jawa Tengah,3322,Semarang,201,Kebakaran,Kebakaran,22,9,2009,,0,,0,0,1,,,,,
