"MonthYear","EventRootCode","QuadClass","CountEvent","Intensity","SumNumArticles","RerataAvgTone"
"201802","01","1","2553","13.383","26375","-2.52181"
"201803","01","1","2537","12.653","21792","-2.09699"
"201804","01","1","2594","13.754","28928","-2.22281"
"201805","01","1","3432","12.074","52868","-3.76387"
"201806","01","1","2334","12.284","22724","-1.81465"
"201807","01","1","2414","12.788","23310","-2.18684"
"201808","01","1","3473","15.199","53506","-2.77921"
"201809","01","1","2618","13.413","35750","-1.96143"
"201810","01","1","5196","14.917","119882","-2.64475"
"201811","01","1","906","15.434","19312","-2.4649"
"199901","02","1","326","6.77","1666","5.42334"
"199902","02","1","487","8.859","2682","5.42906"
"199903","02","1","463","6.919","2542","5.00863"
"199904","02","1","518","7.729","2776","5.1485"
"199905","02","1","396","6.295","2187","5.58696"
"199906","02","1","400","6.506","2466","5.92997"
"199907","02","1","433","6.835","2370","5.21444"
"199908","02","1","474","6.278","2937","5.39978"
"199909","02","1","1303","6.651","7341","5.72502"
"199910","02","1","611","6.859","3464","5.40592"
"199911","02","1","546","6.898","3245","5.11359"
"199912","02","1","497","7.7","3069","5.00065"
"200001","02","1","653","7.949","3673","4.53247"
"200002","02","1","413","6.288","1988","5.4111"
"200003","02","1","294","6.391","1664","5.05059"
"200004","02","1","320","6.779","1861","4.71489"
"200005","02","1","284","5.612","1811","5.12879"
"200006","02","1","388","6.224","2369","4.66901"
"200007","02","1","374","6.628","1995","4.88372"
"200008","02","1","390","6.086","2420","5.15645"
"200009","02","1","446","5.3","2270","4.53795"
"200010","02","1","394","6.363","2031","4.82554"
"200011","02","1","373","6.477","1778","4.98146"
"200012","02","1","279","4.49","1382","5.3596"
"200101","02","1","335","5.499","1547","5.45056"
"200102","02","1","490","6.745","3035","4.83745"
"200103","02","1","389","6.004","2149","4.73557"
"200104","02","1","248","5.755","1385","4.97052"
"200105","02","1","493","7.712","3402","4.9486"
"200106","02","1","334","5.853","1713","5.1174"
"200107","02","1","373","5.599","2003","5.76818"
"200108","02","1","344","5.379","1814","5.32164"
"200109","02","1","304","5.851","1422","5.281"
"200110","02","1","381","7.516","1927","5.24688"
"200111","02","1","319","6.485","1554","5.44006"
"200112","02","1","196","5.5","942","4.71036"
"200201","02","1","275","5.297","1389","5.13161"
"200202","02","1","275","6.033","1403","5.04517"
"200203","02","1","159","4.854","762","5.07694"
"200204","02","1","213","5.814","981","5.32525"
"200205","02","1","181","4.905","848","5.33895"
"200206","02","1","145","4.908","643","4.89958"
"200207","02","1","367","5.653","1596","5.47136"
"200208","02","1","435","6.528","2086","4.94097"
"200209","02","1","237","5.228","1057","4.61488"
"200210","02","1","342","4.625","1576","4.65004"
"200211","02","1","311","4.262","1493","4.55383"
"200212","02","1","308","5.112","1512","4.84812"
"200301","02","1","350","5.704","1751","4.70816"
"200302","02","1","282","5.709","1463","4.94712"
"200303","02","1","347","7.969","2431","5.27358"
"200304","02","1","365","5.827","2752","5.2494"
"200305","02","1","425","5.783","2762","5.02642"
"200306","02","1","411","6.312","1823","5.04141"
"200307","02","1","484","7.003","2125","4.61073"
"200308","02","1","438","5.356","2454","4.62715"
"200309","02","1","505","6.279","2676","4.69736"
"200310","02","1","424","5.126","2220","5.09158"
"200311","02","1","235","4.959","1272","4.93741"
"200312","02","1","276","4.868","1598","4.87129"
"200401","02","1","275","5.831","1428","4.83517"
"200402","02","1","245","6.096","1420","5.78501"
"200403","02","1","247","6.201","1283","5.28833"
"200404","02","1","306","5.113","1509","5.17722"
"200405","02","1","276","4.915","1307","5.2857"
"200406","02","1","241","4.696","1090","5.24795"
"200407","02","1","185","5.279","808","5.00229"
"200408","02","1","151","5.366","726","4.86571"
"200409","02","1","208","5.469","1202","5.3588"
"200410","02","1","216","5.717","1000","5.55931"
"200411","02","1","202","6.592","957","5.02256"
"200412","02","1","318","6.753","1597","5.07259"
"200501","02","1","502","6.684","2491","5.80095"
"200502","02","1","211","6.151","1024","5.40693"
"200503","02","1","239","6.005","973","5.16178"
"200504","02","1","285","6.298","1464","5.74638"
"200505","02","1","184","5.666","807","4.846"
"200506","02","1","177","5.728","918","5.41256"
"200507","02","1","160","5.799","788","5.38473"
"200508","02","1","261","5.945","1327","5.22674"
"200509","02","1","161","5.483","804","5.35906"
"200510","02","1","172","4.166","877","4.66273"
"200511","02","1","112","3.928","573","4.99166"
"200512","02","1","167","5.853","826","5.43938"
"200601","02","1","146","4.897","149","5.08481"
"200602","02","1","198","5.906","393","5.11248"
"200603","02","1","250","5.301","751","5.30384"
"200604","02","1","239","6.405","460","5.39571"
"200605","02","1","381","5.582","1169","5.42391"
"200606","02","1","358","5.806","986","5.25297"
"200607","02","1","280","7.299","786","5.38178"
"200608","02","1","353","7.816","1312","5.05965"
"200609","02","1","393","7.785","1603","4.67968"
"200610","02","1","158","4.617","342","5.21668"
"200611","02","1","265","5.083","923","5.94403"
"200612","02","1","184","4.774","665","5.73775"
"200701","02","1","253","3.831","1002","5.18512"
"200702","02","1","355","6.072","1346","5.33001"
"200703","02","1","561","7.241","2158","5.67023"
"200704","02","1","535","5.984","2268","5.21168"
"200705","02","1","522","6.228","2048","5.47081"
"200706","02","1","699","7.437","2952","5.4995"
"200707","02","1","521","6.843","2144","5.19111"
"200708","02","1","461","8.447","2050","5.41145"
"200709","02","1","438","5.862","2376","5.67376"
